Time[s],Range[m]
1611959465.5713053,0.0
1611959465.6054657,0.0
1611959465.639454,0.0
1611959465.6734743,0.0
1611959465.7074337,0.0
1611959465.7415423,0.0
1611959465.775461,0.0
1611959465.8094893,0.0
1611959465.8432398,0.0
1611959465.8773003,0.0
1611959465.911448,0.0
1611959465.9455132,0.0
1611959465.9794717,0.0
1611959466.0134144,0.0
1611959466.0474257,0.0
1611959466.0814416,0.0
1611959466.1152797,0.0
1611959466.1492257,0.0
1611959466.1834533,0.0
1611959466.2173386,0.0
1611959466.2512684,0.0
1611959466.2852483,0.0
1611959466.3193464,0.0
1611959466.353332,0.0
1611959466.387373,0.0
1611959466.4212983,0.0
1611959466.45521,0.0
1611959466.4894154,0.0
1611959466.5234096,0.0
1611959466.5573773,0.0
1611959466.5914567,0.0
1611959466.6253955,0.0
1611959466.6594262,0.0
1611959466.693289,0.0
1611959466.727453,0.0
1611959466.7613468,0.0
1611959466.795244,0.0
1611959466.8291938,0.0
1611959466.863239,0.0
1611959466.897314,0.0
1611959466.9313874,0.0
1611959466.9653747,0.0
1611959466.999358,0.0
1611959467.0333822,0.0
1611959467.0673263,0.0
1611959467.1012547,0.0
1611959467.1353161,0.0
1611959467.1691608,0.0
1611959467.2032015,0.0
1611959467.2374187,0.0
1611959467.2712452,0.0
1611959467.30534,0.0
1611959467.3393164,0.0
1611959467.3733177,0.0
1611959467.4073474,0.0
1611959467.441426,0.0
1611959467.4753118,0.0
1611959467.5093071,0.0
1611959467.5433295,0.0
1611959467.5773144,0.0
1611959467.611383,0.0
1611959467.64531,0.0
1611959467.6792917,0.0
1611959467.7133,0.0
1611959467.7471774,0.0
1611959467.7813015,0.0
1611959467.8152857,0.0
1611959467.8492694,0.0
1611959467.8832858,0.0
1611959467.9172907,0.0
1611959467.9513097,0.0
1611959467.9851532,0.0
1611959468.0191379,0.0
1611959468.053139,0.0
1611959468.0873652,0.0
1611959468.1212766,0.0
1611959468.1552758,0.0
1611959468.1892474,0.0
1611959468.2232335,0.0
1611959468.2572255,0.0
1611959468.2911413,0.0
1611959468.3252175,0.0
1611959468.3592439,0.0
1611959468.3931963,0.0
1611959468.4272673,0.0
1611959468.4610374,0.0
1611959468.495112,0.0
1611959468.5290778,0.0
1611959468.5632248,0.0
1611959468.5971317,0.0
1611959468.6311665,0.0
1611959468.6651747,0.0
1611959468.6992285,0.0
1611959468.733174,0.0
1611959468.7673182,0.0
1611959468.801295,0.0
1611959468.8351946,0.0
1611959468.869164,0.0
1611959468.9033158,0.0
1611959468.937196,0.0
1611959468.9713044,0.0
1611959469.005143,0.0
1611959469.039241,0.0
1611959469.073144,0.0
1611959469.10716,0.0
1611959469.1412435,0.0
1611959469.1751795,0.0
1611959469.2091017,0.0
1611959469.2432113,0.0
1611959469.2770133,0.0
1611959469.3111808,0.0
1611959469.3451266,0.0
1611959469.3791873,0.0
1611959469.4131021,0.0
1611959469.4471648,0.0
1611959469.4810867,0.0
1611959469.5151472,0.0
1611959469.549117,0.0
1611959469.5830634,0.0
1611959469.6172118,0.0
1611959469.6512172,0.0
1611959469.685149,0.0
1611959469.7191987,0.0
1611959469.7530057,0.0
1611959469.7871456,0.0
1611959469.8211038,0.0
1611959469.855127,0.0
1611959469.8890662,0.0
1611959469.9231138,0.0
1611959469.957172,0.0
1611959469.9911568,0.0
1611959470.0251467,0.0
1611959470.0590878,0.0
1611959470.093133,0.0
1611959470.127091,0.0
1611959470.1611352,0.0
1611959470.195084,0.0
1611959470.2291257,0.0
1611959470.262965,0.0
1611959470.2969134,0.0
1611959470.3312016,0.0
1611959470.3650496,0.0
